Store,Product,Date,Sales
S2,P2,2022-01-28,96
S2,P3,2022-01-28,79
S2,P4,2022-01-28,74
S2,P5,2022-01-28,58
S3,P1,2022-01-28,63
S3,P2,2022-01-28,87
S3,P3,2022-01-28,71
S3,P4,2022-01-28,50
S3,P5,2022-01-28,56
S4,P1,2022-01-28,67
S4,P2,2022-01-28,53
S4,P3,2022-01-28,64
S4,P4,2022-01-28,51
S4,P5,2022-01-28,98
S5,P1,2022-01-28,70
S5,P2,2022-01-28,89
S5,P3,2022-01-28,67
S5,P4,2022-01-28,75
S5,P5,2022-01-28,64
S1,P1,2022-01-29,62
S1,P2,2022-01-29,65
S1,P3,2022-01-29,73
S1,P4,2022-01-29,82
S1,P5,2022-01-29,87
S2,P1,2022-01-29,98
S2,P2,2022-01-29,75
S2,P3,2022-01-29,50
S2,P4,2022-01-29,76
S2,P5,2022-01-29,79
S3,P1,2022-01-29,64
S3,P2,2022-01-29,71
S3,P3,2022-01-29,66
S3,P4,2022-01-29,87
S3,P5,2022-01-29,88
S4,P1,2022-01-29,71
S4,P2,2022-01-29,58
S4,P3,2022-01-29,83
S4,P4,2022-01-29,75
S4,P5,2022-01-29,55
S5,P1,2022-01-29,67
S5,P2,2022-01-29,91
S5,P3,2022-01-29,67
S5,P4,2022-01-29,81
S5,P5,2022-01-29,93
S1,P1,2022-01-30,78
S1,P2,2022-01-30,83
S1,P3,2022-01-30,63
S1,P4,2022-01-30,92
S1,P5,2022-01-30,64
S2,P1,2022-01-30,54
S2,P2,2022-01-30,100
S2,P3,2022-01-30,92
S2,P4,2022-01-30,59
S2,P5,2022-01-30,76
S3,P1,2022-01-30,81
S3,P2,2022-01-30,63
S3,P3,2022-01-30,56
S3,P4,2022-01-30,99
S3,P5,2022-01-30,63
S4,P1,2022-01-30,82
S4,P2,2022-01-30,55
S4,P3,2022-01-30,52
S4,P4,2022-01-30,83
S4,P5,2022-01-30,56
S5,P1,2022-01-30,94
S5,P2,2022-01-30,83
S5,P3,2022-01-30,62
S5,P4,2022-01-30,88
S5,P5,2022-01-30,68
S1,P1,2022-01-31,75
S1,P2,2022-01-31,52
S1,P3,2022-01-31,88
S1,P4,2022-01-31,88
S1,P5,2022-01-31,87
S2,P1,2022-01-31,81
S2,P2,2022-01-31,99
S2,P3,2022-01-31,71
S2,P4,2022-01-31,75
S2,P5,2022-01-31,97
S3,P1,2022-01-31,74
S3,P2,2022-01-31,53
S3,P3,2022-01-31,84
S3,P4,2022-01-31,53
S3,P5,2022-01-31,94
S4,P1,2022-01-31,84
S4,P2,2022-01-31,96
S4,P3,2022-01-31,88
S4,P4,2022-01-31,82
S4,P5,2022-01-31,68
S5,P1,2022-01-31,59
S5,P2,2022-01-31,69
S5,P3,2022-01-31,57
S5,P4,2022-01-31,74
S5,P5,2022-01-31,96
S1,P1,2022-02-01,77
S1,P2,2022-02-01,72
S1,P3,2022-02-01,68
S1,P4,2022-02-01,64
S1,P5,2022-02-01,79
S2,P1,2022-02-01,91
S2,P2,2022-02-01,50
S2,P3,2022-02-01,92
S2,P4,2022-02-01,69
S2,P5,2022-02-01,70
S3,P1,2022-02-01,89
S3,P2,2022-02-01,61
S3,P3,2022-02-01,87
S3,P4,2022-02-01,60
S3,P5,2022-02-01,65
S4,P1,2022-02-01,75
S4,P2,2022-02-01,68
S4,P3,2022-02-01,61
S4,P4,2022-02-01,91
S4,P5,2022-02-01,93
S5,P1,2022-02-01,100
S5,P2,2022-02-01,92
S5,P3,2022-02-01,83
S5,P4,2022-02-01,76
S5,P5,2022-02-01,74
S1,P1,2022-02-02,51
S1,P2,2022-02-02,81
S1,P3,2022-02-02,63
S1,P4,2022-02-02,54
S1,P5,2022-02-02,58
S2,P1,2022-02-02,100
S2,P2,2022-02-02,98
S2,P3,2022-02-02,57
S2,P4,2022-02-02,76
S2,P5,2022-02-02,66
S3,P1,2022-02-02,77
S3,P2,2022-02-02,74
S3,P3,2022-02-02,62
S3,P4,2022-02-02,52
S3,P5,2022-02-02,57
S4,P1,2022-02-02,61
S4,P2,2022-02-02,96
S4,P3,2022-02-02,89
S4,P4,2022-02-02,71
S4,P5,2022-02-02,68
S5,P1,2022-02-02,67
S5,P2,2022-02-02,61
S5,P3,2022-02-02,63
S5,P4,2022-02-02,78
S5,P5,2022-02-02,68
S1,P1,2022-02-03,58
S1,P2,2022-02-03,76
S1,P3,2022-02-03,95
S1,P4,2022-02-03,76
S1,P5,2022-02-03,75
S2,P1,2022-02-03,85
S2,P2,2022-02-03,73
S2,P3,2022-02-03,79
S2,P4,2022-02-03,82
S2,P5,2022-02-03,67
S3,P1,2022-02-03,69
S3,P2,2022-02-03,99
S3,P3,2022-02-03,90
S3,P4,2022-02-03,99
S3,P5,2022-02-03,65
S4,P1,2022-02-03,90
S4,P2,2022-02-03,52
S4,P3,2022-02-03,86
S4,P4,2022-02-03,52
S4,P5,2022-02-03,96
S5,P1,2022-02-03,58
S5,P2,2022-02-03,56
S5,P3,2022-02-03,55
S5,P4,2022-02-03,81
S5,P5,2022-02-03,84
S1,P1,2022-02-04,65
S1,P2,2022-02-04,76
S1,P3,2022-02-04,88
S1,P4,2022-02-04,96
S1,P5,2022-02-04,84
S2,P1,2022-02-04,65
S2,P2,2022-02-04,76
S2,P3,2022-02-04,51
S2,P4,2022-02-04,66
S2,P5,2022-02-04,81
S3,P1,2022-02-04,72
S3,P2,2022-02-04,85
S3,P3,2022-02-04,91
S3,P4,2022-02-04,95
S3,P5,2022-02-04,76
S4,P1,2022-02-04,99
S4,P2,2022-02-04,54
S4,P3,2022-02-04,85
S4,P4,2022-02-04,87
S4,P5,2022-02-04,83
S5,P1,2022-02-04,55
S5,P2,2022-02-04,64
S5,P3,2022-02-04,80
S5,P4,2022-02-04,52
S5,P5,2022-02-04,53
S1,P1,2022-02-05,95
S1,P2,2022-02-05,72
S1,P3,2022-02-05,60
S1,P4,2022-02-05,99
S1,P5,2022-02-05,100
S2,P1,2022-02-05,77
S2,P2,2022-02-05,96
S2,P3,2022-02-05,70
S2,P4,2022-02-05,69
S2,P5,2022-02-05,79
S3,P1,2022-02-05,94
S3,P2,2022-02-05,82
S3,P3,2022-02-05,79
S3,P4,2022-02-05,79
S3,P5,2022-02-05,99
S4,P1,2022-02-05,71
S4,P2,2022-02-05,98
S4,P3,2022-02-05,68
S4,P4,2022-02-05,54
S4,P5,2022-02-05,98
S5,P1,2022-02-05,82
S5,P2,2022-02-05,63
S5,P3,2022-02-05,73
S5,P4,2022-02-05,98
S5,P5,2022-02-05,82
S1,P1,2022-02-06,64
S1,P2,2022-02-06,57
S1,P3,2022-02-06,94
S1,P4,2022-02-06,60
S1,P5,2022-02-06,57
S2,P1,2022-02-06,82
S2,P2,2022-02-06,87
S2,P3,2022-02-06,76
S2,P4,2022-02-06,83
S2,P5,2022-02-06,73
S3,P1,2022-02-06,63
S3,P2,2022-02-06,62
S3,P3,2022-02-06,85
S3,P4,2022-02-06,81
S3,P5,2022-02-06,54
S4,P1,2022-02-06,81
S4,P2,2022-02-06,65
S4,P3,2022-02-06,76
S4,P4,2022-02-06,67
S4,P5,2022-02-06,89
S5,P1,2022-02-06,75
S5,P2,2022-02-06,55
S5,P3,2022-02-06,73
S5,P4,2022-02-06,90
S5,P5,2022-02-06,86
S1,P1,2022-02-07,64
S1,P2,2022-02-07,72
S1,P3,2022-02-07,69
S1,P4,2022-02-07,98
S1,P5,2022-02-07,71
S2,P1,2022-02-07,62
S2,P2,2022-02-07,87
S2,P3,2022-02-07,70
S2,P4,2022-02-07,100
S2,P5,2022-02-07,92
S3,P1,2022-02-07,94
S3,P2,2022-02-07,65
S3,P3,2022-02-07,72
S3,P4,2022-02-07,68
S3,P5,2022-02-07,89
S4,P1,2022-02-07,75
S4,P2,2022-02-07,69
S4,P3,2022-02-07,66
S4,P4,2022-02-07,91
S4,P5,2022-02-07,80
S5,P1,2022-02-07,98
S5,P2,2022-02-07,95
S5,P3,2022-02-07,58
S5,P4,2022-02-07,89
S5,P5,2022-02-07,75
S1,P1,2022-02-08,82
S1,P2,2022-02-08,62
S1,P3,2022-02-08,56
S1,P4,2022-02-08,86
S1,P5,2022-02-08,64
S2,P1,2022-02-08,81
S2,P2,2022-02-08,55
S2,P3,2022-02-08,91
S2,P4,2022-02-08,100
S2,P5,2022-02-08,53
S3,P1,2022-02-08,99
S3,P2,2022-02-08,85
S3,P3,2022-02-08,54
S3,P4,2022-02-08,100
S3,P5,2022-02-08,83
S4,P1,2022-02-08,74
S4,P2,2022-02-08,68
S4,P3,2022-02-08,71
S4,P4,2022-02-08,83
S4,P5,2022-02-08,69
S5,P1,2022-02-08,75
S5,P2,2022-02-08,86
S5,P3,2022-02-08,61
S5,P4,2022-02-08,91
S5,P5,2022-02-08,74
S1,P1,2022-02-09,83
S1,P2,2022-02-09,86
S1,P3,2022-02-09,98
S1,P4,2022-02-09,52
S1,P5,2022-02-09,92
S2,P1,2022-02-09,88
S2,P2,2022-02-09,60
S2,P3,2022-02-09,70
S2,P4,2022-02-09,71
S2,P5,2022-02-09,93
S3,P1,2022-02-09,90
S3,P2,2022-02-09,59
S3,P3,2022-02-09,76
S3,P4,2022-02-09,92
S3,P5,2022-02-09,87
S4,P1,2022-02-09,71
S4,P2,2022-02-09,80
S4,P3,2022-02-09,61
S4,P4,2022-02-09,97
S4,P5,2022-02-09,75
S5,P1,2022-02-09,66
S5,P2,2022-02-09,51
S5,P3,2022-02-09,67
S5,P4,2022-02-09,87
S5,P5,2022-02-09,92
S1,P1,2022-02-10,56
S1,P2,2022-02-10,85
S1,P3,2022-02-10,98
S1,P4,2022-02-10,80
S1,P5,2022-02-10,82
S2,P1,2022-02-10,64
S2,P2,2022-02-10,52
S2,P3,2022-02-10,79
S2,P4,2022-02-10,56
S2,P5,2022-02-10,64
S3,P1,2022-02-10,76
S3,P2,2022-02-10,98
S3,P3,2022-02-10,94
S3,P4,2022-02-10,84
S3,P5,2022-02-10,84
S4,P1,2022-02-10,95
S4,P2,2022-02-10,74
S4,P3,2022-02-10,57
S4,P4,2022-02-10,68
S4,P5,2022-02-10,63
S5,P1,2022-02-10,67
S5,P2,2022-02-10,63
S5,P3,2022-02-10,70
S5,P4,2022-02-10,78
S5,P5,2022-02-10,55
S1,P1,2022-02-11,57
S1,P2,2022-02-11,92
S1,P3,2022-02-11,53
S1,P4,2022-02-11,75
S1,P5,2022-02-11,65
S2,P1,2022-02-11,88
S2,P2,2022-02-11,69
S2,P3,2022-02-11,88
S2,P4,2022-02-11,52
S2,P5,2022-02-11,60
S3,P1,2022-02-11,94
S3,P2,2022-02-11,63
S3,P3,2022-02-11,83
S3,P4,2022-02-11,63
S3,P5,2022-02-11,57
S4,P1,2022-02-11,57
S4,P2,2022-02-11,99
S4,P3,2022-02-11,68
S4,P4,2022-02-11,72
S4,P5,2022-02-11,64
S5,P1,2022-02-11,100
S5,P2,2022-02-11,76
S5,P3,2022-02-11,82
S5,P4,2022-02-11,54
S5,P5,2022-02-11,82
S1,P1,2022-02-12,51
S1,P2,2022-02-12,98
S1,P3,2022-02-12,66
S1,P4,2022-02-12,62
S1,P5,2022-02-12,91
S2,P1,2022-02-12,99
S2,P2,2022-02-12,56
S2,P3,2022-02-12,97
S2,P4,2022-02-12,84
S2,P5,2022-02-12,90
S3,P1,2022-02-12,60
S3,P2,2022-02-12,63
S3,P3,2022-02-12,69
S3,P4,2022-02-12,69
S3,P5,2022-02-12,55
S4,P1,2022-02-12,77
S4,P2,2022-02-12,67
S4,P3,2022-02-12,57
S4,P4,2022-02-12,65
S4,P5,2022-02-12,56
S5,P1,2022-02-12,92
S5,P2,2022-02-12,93
S5,P3,2022-02-12,94
S5,P4,2022-02-12,53
S5,P5,2022-02-12,91
S1,P1,2022-02-13,52
S1,P2,2022-02-13,61
S1,P3,2022-02-13,93
S1,P4,2022-02-13,60
S1,P5,2022-02-13,76
S2,P1,2022-02-13,87
S2,P2,2022-02-13,95
S2,P3,2022-02-13,90
S2,P4,2022-02-13,83
S2,P5,2022-02-13,92
S3,P1,2022-02-13,95
S3,P2,2022-02-13,65
S3,P3,2022-02-13,93
S3,P4,2022-02-13,53
S3,P5,2022-02-13,87
S4,P1,2022-02-13,63
S4,P2,2022-02-13,67
S4,P3,2022-02-13,54
S4,P4,2022-02-13,90
S4,P5,2022-02-13,51
S5,P1,2022-02-13,51
S5,P2,2022-02-13,79
S5,P3,2022-02-13,89
S5,P4,2022-02-13,81
S5,P5,2022-02-13,65
S1,P1,2022-02-14,52
S1,P2,2022-02-14,67
S1,P3,2022-02-14,96
S1,P4,2022-02-14,64
S1,P5,2022-02-14,78
S2,P1,2022-02-14,64
S2,P2,2022-02-14,66
S2,P3,2022-02-14,52
S2,P4,2022-02-14,63
S2,P5,2022-02-14,75
S3,P1,2022-02-14,63
S3,P2,2022-02-14,69
S3,P3,2022-02-14,82
S3,P4,2022-02-14,100
S3,P5,2022-02-14,52
S4,P1,2022-02-14,55
S4,P2,2022-02-14,58
S4,P3,2022-02-14,69
S4,P4,2022-02-14,81
S4,P5,2022-02-14,68
S5,P1,2022-02-14,75
S5,P2,2022-02-14,58
S5,P3,2022-02-14,62
S5,P4,2022-02-14,83
S5,P5,2022-02-14,85
S1,P1,2022-02-15,62
S1,P2,2022-02-15,93
S1,P3,2022-02-15,70
S1,P4,2022-02-15,80
S1,P5,2022-02-15,50
S2,P1,2022-02-15,64
S2,P2,2022-02-15,84
S2,P3,2022-02-15,78
S2,P4,2022-02-15,76
S2,P5,2022-02-15,96
S3,P1,2022-02-15,85
S3,P2,2022-02-15,89
S3,P3,2022-02-15,63
S3,P4,2022-02-15,94
S3,P5,2022-02-15,98
S4,P1,2022-02-15,88
S4,P2,2022-02-15,80
S4,P3,2022-02-15,91
S4,P4,2022-02-15,59
S4,P5,2022-02-15,83
S5,P1,2022-02-15,77
S5,P2,2022-02-15,62
S5,P3,2022-02-15,87
S5,P4,2022-02-15,60
S5,P5,2022-02-15,65
S1,P1,2022-02-16,61
S1,P2,2022-02-16,83
S1,P3,2022-02-16,95
S1,P4,2022-02-16,64
S1,P5,2022-02-16,98
S2,P1,2022-02-16,97
S2,P2,2022-02-16,62
S2,P3,2022-02-16,92
S2,P4,2022-02-16,56
S2,P5,2022-02-16,60
S3,P1,2022-02-16,55
S3,P2,2022-02-16,64
S3,P3,2022-02-16,88
S3,P4,2022-02-16,81
S3,P5,2022-02-16,69
S4,P1,2022-02-16,65
S4,P2,2022-02-16,56
S4,P3,2022-02-16,53
S4,P4,2022-02-16,70
S4,P5,2022-02-16,51
S5,P1,2022-02-16,64
S5,P2,2022-02-16,60
S5,P3,2022-02-16,66
S5,P4,2022-02-16,50
S5,P5,2022-02-16,61
S1,P1,2022-02-17,53
S1,P2,2022-02-17,91
S1,P3,2022-02-17,87
S1,P4,2022-02-17,89
S1,P5,2022-02-17,66
S2,P1,2022-02-17,61
